Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM,Measure
14695R.lvm,1.33458,2.53343343,5.51801714,0.22571714,0.09204,0.00063261,0.00079249,0.00058568,0.00058568,0,POST
14696L.lvm,1.37731286,2.33475529,5.29668286,0.24544,0.13696429,0.00058568,0.00061386,0.0008621,0,0.00098585,POST
14696R.lvm,1.34225,2.403661,5.21888714,0.24434429,0.12600714,0.00063261,0.00093769,0.00058568,0.00041414,0.0008621,POST
14697L.lvm,1.31704857,2.347388,5.22107857,0.25858857,0.15449571,0.00082828,0.00066305,0.00053465,0.00053465,0.00041414,POST
14697R.lvm,1.32691,2.3996415,5.20665167,0.23649167,0.180245,0.00080849,0.00073386,0.00052188,0.00052188,0.00070017,POST
14698L.lvm,1.40233167,2.379544,5.45592667,0.23521333,0.16234833,0.00052188,0,0.00066013,0.00066013,0.00052188,POST
14698R.lvm,1.38315667,2.38490333,5.47510167,0.23521333,0.187915,0.00066013,0.00069189,0.00052188,0.00066013,0.00070017,POST
14699L.lvm,1.307735,2.3433685,5.288465,0.26205833,0.16746167,0.00070017,0.00073386,0.00070017,0.00052188,0.00052188,POST
14699R.lvm,2.32571444,1.30321122,7.64699,0.22754333,0.13976444,0.0009314,0.00082888,0.00073805,0.00042611,0.00037579,POST
14700L.lvm,1.43538571,2.34394271,5.59143,0.27064143,0.12600714,0.00041414,0.00061386,0,0.00053465,0.00058568,POST
14700R.lvm,1.521728,2.2332342,5.727956,0.241605,0.132691,0.00039608,0.00073873,0.00060502,0.00040424,0.0003705,POST
13007_L.lvm,1.169675,2.19263725,5.104385,0.26365625,0.1514825,0.00072475,0.00089073,0.00051247,0.0004962,0.00044382,PRE
13007_R.lvm,1.21953,2.186608,5.071404,0.251576,0.16874,0,0,0.00068603,0.00068603,0,PRE
13062_L.lvm,1.28089,2.05664417,4.981665,0.25055333,0.17385333,0,0.00054698,0.00070017,0.00066013,0.00066013,PRE
13062_R.lvm,1.27449833,2.12497567,4.81803833,0.287625,0.17385333,0.00052188,0.00069189,0.00052188,0.00070017,0.00066013,PRE
13063_L.lvm,1.14709111,1.993672,4.84999667,0.23862222,0.12442444,0.00096334,0.00077355,0.00060261,0.00051212,0.00037579,PRE
13063_R.lvm,1.15987444,1.977594,4.77414889,0.23777,0.15680889,0.0009314,0.00089322,0.00044916,0,0.00044916,PRE
13065_L.lvm,1.28184875,2.01175975,5.05453,0.26365625,0.09491625,0.00095015,0.00089073,0,0.0004962,0.0004962,PRE
13065_R.lvm,1.31071778,2.01510933,4.94885444,0.26930222,0.09800556,0.00066621,0.00044661,0.00037579,0.00028407,0.00037579,PRE
13066_L.lvm,1.27748111,1.97044822,4.75028667,0.25311,0.17896667,0.00044916,0.00069826,0.00042611,0,0.00042611,PRE
13066_R.lvm,1.36355556,1.87487344,4.70256222,0.27441556,0.12953778,0.00082821,0.00086806,0.00028407,0.00056815,0.00028407,PRE
13067_L.lvm,1.28367909,2.02655882,5.19189273,0.23846727,0.18965818,0.00094956,0.00060746,0.00021024,0.00021024,0.0003257,PRE
13067_R.lvm,1.33388273,2.00390345,5.22536182,0.25659636,0.16316182,0.00057958,0.00066105,0.00045091,0.00036414,0.00054823,PRE
13068_L.lvm,1.25299909,2.082101,5.00641818,0.26078,0.13178455,0.00035179,0.00046221,0.00083036,0.00076382,0.00028206,PRE
13068_R.lvm - Corrupted,,,,,,,,,,,PRE
13069_L.lvm,1.33969333,2.05173144,5.02129333,0.25311,0.18493222,0.00060261,0.00059548,0.00042611,0,0.00028407,PRE
13069_R.lvm,1.27748111,2.03476022,5.13037778,0.23691778,0.11845889,0.00044916,0.00053676,0.00079083,0.00066621,0.00044916,PRE
13007_L.lvm,1.49053667,2.3272905,5.564585,0.25311,0.20581167,0.00066013,0.00073386,0.00070017,0,0.00052188,POST
13007_R.lvm,1.48670167,2.33264983,5.62722333,0.24288333,0.19686333,0.00052188,0.00054698,0.00066013,0.00066013,0.00066013,POST
13062_L.lvm,1.53947857,2.32212257,5.30654429,0.26297143,0.18298429,0.00053465,0.00043407,0.00075611,0.00053465,0.00041414,POST
13062_R.lvm,1.56382778,2.30451333,5.2923,0.26589333,0.15084333,0.00028407,0.00044661,0,0.00042611,0.00085222,POST
13063_L.lvm,1.36781667,2.21697756,5.18832889,0.23862222,0.15425222,0.00042611,0.00039387,0.00061913,0.00099426,0.00099426,POST
13063_R.lvm,1.51866,2.24020133,5.54796667,0.24416167,0.17001833,0,0.00069189,0.00066013,0.00052188,0.00052188,POST
13065_L - Corrupted,,,,,,,,,,,POST
13065_R.lvm,1.5282475,2.24187613,5.54061625,0.24256375,0.17161625,0.0009924,0.00035528,0.0004962,0.0004962,0.0004962,POST
13066_L.lvm,1.47519667,2.16919017,5.16830167,0.24799667,0.17385333,0.00066013,0.00054698,0.00052188,0.00066013,0.00066013,POST
13066_R.lvm,1.402076,2.2380576,5.137366,0.25311,0.167206,0.00068603,0.00088063,0.00068603,0,0.00068603,POST
13067_L - Corrupted,,,,,,,,,,,POST
13067_R - Corrupted,,,,,,,,,,,POST
13068_L.lvm,1.46497,2.339349,5.398146,0.251576,0.18408,0,0,0.00068603,0.00068603,0,POST
13068_R.lvm,1.37804333,2.42911783,5.39328833,0.25183167,0.13806,0.00066013,0.00054698,0.00052188,0.00052188,0,POST
13069_L.lvm,1.46497,2.33131,5.54285333,0.25950167,0.141895,0,0,0.00066013,0.00052188,0.00070017,POST
13069_R.lvm,1.41675857,2.40136414,5.63854571,0.23667429,0.15230429,0.00053465,0.00056038,0.00041414,0.00041414,0.00041414,POST
