Bird #,AC,L,VC,RT,CT,AC SEM,L SEM,VC SEM,RT SEM,CT SEM,Measure,Eye
14666L.lvm,1.51951222,2.49119678,5.25650667,0.25055333,0.12783333,0.00066621,0.00069826,0.00042611,0.00042611,0.00060261,POST,L
14666R.lvm,1.68867833,2.36078633,5.480215,0.25055333,0.13166833,0.00052188,0.00069189,0.00070017,0.00066013,0.00052188,POST,R
14667L.lvm,1.57362833,2.49744933,5.70775833,0.24416167,0.13039,0.00052188,0.00069189,0.00052188,0.00052188,0,POST,L
14667R.lvm,1.67206,2.45089012,5.81865375,0.25598625,0.1246375,0.00051247,0.00064399,0.00087834,0.00087834,0.00044382,POST,R
14691L.lvm,1.4131975,2.588558,5.49076125,0.22243,0.10738,0.00044382,0,0.00033897,0,0,POST,L
14691R.lvm,1.471106,2.4856588,5.53774,0.27612,0.13039,0.00068603,0.00071903,0,0,0,POST,R
14692L.lvm,1.48318625,2.52726062,5.4361125,0.23105875,0.13134875,0.0004962,0.00052007,0.00044382,0.00033897,0.00033897,POST,L
14692R.lvm,1.50750364,2.48916673,5.54750182,0.24125636,0.12202273,0.00065139,0.00067558,0.00045091,0.00036414,0.00095882,POST,R
14693L.lvm,1.59599917,2.427778,5.57864667,0.24799667,0.17704917,0.00069262,0.00069971,0.0003147,0.0003147,0.00088138,POST,L
14693R.lvm,1.49138889,2.59034444,5.73886444,0.24373556,0.15595667,0.00044916,0.00059548,0.00037579,0.00037579,0.00042611,POST,R
